pdid,name,target_name,gene_name,target_type,activity_biochemical,SMILES_std,mw,hba,hbd,rb,logp,tpsa,moa_label,Standardized_SMILES,SMILES_protonated_7.4,morgan_fps,set,cluster
PD078731,Abrocitinib,Tyrosine-protein kinase JAK1,JAK1,single protein,7.54,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,323.14,5.0,2.0,6.0,1.25,90.98,JAK,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(C)C1=C2C=CNC2=NC=[NH+]1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496ff0>,tr,
PD056639,Anlotinib,Vascular endothelial growth factor receptor 3,FLT4,single protein,9.0,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1,407.16,5.0,2.0,6.0,4.83,82.39,TYROSINE KINASE,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1,COC1=CC2=C(OC3=CC=C4NC(C)=CC4=C3F)C=CN=C2C=C1OCC1([NH3+])CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674973e0>,tr,
PD011189,Aurora A inhibitor I,Aurora kinase A,AURKA,single protein,8.47,CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,587.22,7.0,3.0,9.0,5.72,102.49,AURORA KINASE,CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,CC[NH+]1CCN(CC1)C(=O)CC1=CC=C(NC2=NC=C(F)C(NC3=CC=C(C=C3)C(=O)NC3=CC=CC=C3Cl)=N2)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494b30>,tr,
PD010550,BARICITINIB,Tyrosine-protein kinase JAK1,JAK1,single protein,8.32,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,371.12,7.0,1.0,5.0,1.1,120.56,JAK,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674946d0>,tr,
PD003512,BELINOSTAT,Histone deacetylase 1,HDAC1,single protein,8.23,O=S(=O)(Nc1ccccc1)c1cccc(/C=C/C(O)=NO)c1,318.07,4.0,3.0,5.0,2.01,95.5,HDAC,O=S(=O)(Nc1ccccc1)c1cccc(/C=C/C(O)=NO)c1,O=NC(=O)CCC1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674942e0>,tr,23
PD003516,BENDAMUSTINE,Histone deacetylase 6,HDAC6,single protein,8.11,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,357.1,4.0,1.0,9.0,3.26,58.36,HDAC,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,CN1C(CCCC([O-])=O)=NC2=CC(=CC=C12)N(CCCl)CCCl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674970d0>,tr,34
PD012417,BG45,Histone deacetylase 3,HDAC3,single protein,6.54,Nc1ccccc1NC(=O)c1cnccn1,214.09,4.0,2.0,2.0,1.31,80.9,HDAC,Nc1ccccc1NC(=O)c1cnccn1,NC1=CC=CC=C1NC(=O)C1=CN=CC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674975a0>,tr,25
PD070571,BIBU 1361 dihydrochloride,Epidermal growth factor receptor,EGFR,single protein,8.52,CCN(CC)CC1CCN(c2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,443.2,7.0,1.0,7.0,4.51,70.07,EGFR,CCN(CC)CC1CCN(c2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,CC[NH+](CC)CC1CCN(CC1)C1=NC2=C(NC3=CC=C(F)C(Cl)=C3)N=CN=C2C=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495380>,tr,
PD003264,BMS-265246,Cyclin-dependent kinase 1,CDK1,single protein,8.22,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,345.13,4.0,1.0,6.0,3.95,67.87,CDK,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,CCCCOC1=C(C=NC2=NNC=C12)C(=O)C1=C(F)C=C(C)C=C1F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674951c0>,tr,
PD021511,BMS-599626,Epidermal growth factor receptor,EGFR,single protein,7.49,Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,530.22,10.0,3.0,7.0,3.86,119.63,EGFR,Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,CC1=C2N(C=C1NC(=O)OC[C@@H]1COCC[NH2+]1)N=CN=C2NC1=CC=C2N(CC3=CC=CC(F)=C3)N=CC2=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495150>,tr,
PD036139,BMS-911543,Tyrosine-protein kinase JAK2,JAK2,single protein,9.0,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,432.24,8.0,1.0,6.0,3.5,85.8,JAK,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,CCN1C(=CC2=C1N=C(NC1=NN(C)C(C)=C1)C1=C2N(C)C=N1)C(=O)N(C1CC1)C1CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495070>,tr,
PD003470,BRD3308,Histone deacetylase 3,HDAC3,single protein,7.19,CC(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1,287.11,3.0,3.0,3.0,2.62,84.22,HDAC,CC(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1,CC(=O)NC1=CC=C(C=C1)C(=O)NC1=CC=C(F)C=C1N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494f20>,tr,37
PD080379,BRD6989,Cyclin-dependent kinase 8,CDK8,single protein,6.3,CC1CCc2nc(N)c(C#N)c(-c3cccnc3)c2C1,264.14,4.0,1.0,1.0,2.72,75.59,CDK,CC1CCc2nc(N)c(C#N)c(-c3cccnc3)c2C1,CC1CCC2=NC(N)=C(C#N)C(C3=CC=CN=C3)=C2C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494eb0>,tr,
PD012420,BRD73954,Histone deacetylase 6,HDAC6,single protein,7.44,O=C(NCCc1ccccc1)c1cccc(C(O)=NO)c1,284.12,3.0,3.0,5.0,1.78,78.43,HDAC,O=C(NCCc1ccccc1)c1cccc(C(O)=NO)c1,OC(N=O)C1=CC(=CC=C1)C(=O)NCCC1=CC=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494e40>,tr,39
PD017549,BS-181,Cyclin-dependent kinase 7,CDK7,single protein,7.68,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,380.27,6.0,3.0,11.0,4.4,80.27,CDK,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,CC(C)C1=C2N=C(NCCCCCC[NH3+])C=C(NCC3=CC=CC=C3)N2N=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494d60>,tr,
PD011032,BX-912,Aurora kinase A,AURKA,single protein,7.86,O=C(Nc1cccc(Nc2ncc(Br)c(NCCc3c[nH]cn3)n2)c1)N1CCCC1,470.12,6.0,4.0,7.0,3.99,110.86,AURORA KINASE,O=C(Nc1cccc(Nc2ncc(Br)c(NCCc3c[nH]cn3)n2)c1)N1CCCC1,BrC1=CN=C(NC2=CC(NC(=O)N3CCCC3)=CC=C2)N=C1NCCC1=CNC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494c80>,tr,
PD021657,BYK 204165,Poly [ADP-ribose] polymerase 1,PARP1,single protein,7.35,Cn1cccc1/C=C1\C(=O)NC(=O)c2ccccc21,252.09,3.0,1.0,1.0,1.84,51.1,PARP,Cn1cccc1/C=C1\C(=O)NC(=O)c2ccccc21,CN1C=CC=C1\C=C1/C(=O)[N-]C(=[OH+])C2=CC=CC=C12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494ba0>,tr,
PD003525,Bemcentinib,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,8.7,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,506.29,8.0,2.0,4.0,4.88,97.78,TYROSINE KINASE,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,NC1=NC(NC2=CC=C3CC[C@@H](CCC3=C2)[NH+]2CCCC2)=NN1C1=CC2=C(N=N1)C1=CC=CC=C1CCC2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494ac0>,tr,
PD088178,Benzoyleneurea,Poly [ADP-ribose] polymerase 1,PARP1,single protein,5.09,O=c1[nH]c(=O)c2ccccc2[nH]1,162.04,2.0,2.0,0.0,0.22,65.72,PARP,O=c1[nH]c(=O)c2ccccc2[nH]1,O=C1NC(=O)C2=CC=CC=C2N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674949e0>,tr,
PD184108,Benzyl-quinazolin-4-yl-amine,Epidermal growth factor receptor,EGFR,single protein,6.49,c1ccc(CNc2ncnc3ccccc23)cc1,235.11,2.0,1.0,2.0,2.66,41.04,EGFR,c1ccc(CNc2ncnc3ccccc23)cc1,C(NC1=NC=NC2=CC=CC=C12)C1=CC=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494900>,tr,
PD020218,CAY10554,Cyclin-dependent kinase 5,CDK5,single protein,7.19,CC(C)c1cnc(NC(=O)Cc2ccccc2)s1,260.1,3.0,1.0,4.0,3.45,41.99,CDK,CC(C)c1cnc(NC(=O)Cc2ccccc2)s1,CC(C)C1=CN=C(NC(=O)CC2=CC=CC=C2)S1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494740>,tr,
PD003360,CAY10603,Histone deacetylase 3,HDAC3,single protein,8.7,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(O)=NO)no2)cc1,446.22,7.0,4.0,10.0,3.87,142.79,HDAC,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(O)=NO)no2)cc1,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C1=CC(=NO1)C(=O)NCCCCCCC(=O)NO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494580>,tr,
PD021148,CAY10626,Serine/threonine-protein kinase mTOR,MTOR,single protein,9.22,CN(C)CCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4ccn(CC(F)(F)F)c4n3)cc2)cc1,624.28,8.0,2.0,9.0,4.77,107.86,MTOR,CN(C)CCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4ccn(CC(F)(F)F)c4n3)cc2)cc1,CN(CC[NH+](C)C)C(=O)C1=CC=C(NC(=O)NC2=CC=C(C=C2)C2=NC(N3CCOCC3)=C3C=CN(CC(F)(F)F)C3=N2)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494510>,tr,
PD051630,CC-223,Serine/threonine-protein kinase mTOR,MTOR,single protein,8.0,COC1CCC(N2C(=O)CNc3ncc(-c4ccc(C(C)(C)O)nc4)nc32)CC1,397.21,7.0,2.0,4.0,2.48,100.47,MTOR,COC1CCC(N2C(=O)CNc3ncc(-c4ccc(C(C)(C)O)nc4)nc32)CC1,COC1CCC(CC1)N1C(=O)CNC2=NC=C(N=C12)C1=CC=C(N=C1)C(C)(C)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674944a0>,tr,
PD010688,CCT 137690,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,8.92,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(N6CCN(C)CC6)cc5)nc34)CC2)no1,550.18,8.0,1.0,5.0,3.76,80.56,TYROSINE KINASE,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(N6CCN(C)CC6)cc5)nc34)CC2)no1,C[NH+]1CCN(CC1)C1=CC=C(C=C1)C1=NC2=NC=C(Br)C(N3CCN(CC4=NOC(C)=C4)CC3)=C2N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494350>,tr,
PD010906,CCT128930,RAC-beta serine/threonine-protein kinase,AKT2,single protein,8.22,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,341.14,4.0,2.0,3.0,3.15,70.83,AKT,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,[NH3+]C1(CC2=CC=C(Cl)C=C2)CCN(CC1)C1=C2C=CNC2=NC=[NH+]1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494270>,tr,
PD010992,CCT129202,Aurora kinase A,AURKA,single protein,7.38,CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1,496.16,8.0,2.0,6.0,3.56,93.28,AURORA KINASE,CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1,CN(C)C1=CC=C(C=C1)C1=NC2=NC=C(Cl)C(N3CCN(CC(=O)NC4=NC=CS4)CC3)=C2N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494200>,tr,
PD013390,CCT251545,Cyclin-dependent kinase 19,CDK19,single protein,8.6,Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1,421.17,5.0,1.0,3.0,3.91,63.05,CDK,Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1,CN1C=C(C=N1)C1=CC=C(C=C1)C1=CN=CC(Cl)=C1N1CCC2(CCNC2=O)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494190>,tr,
PD010563,CEP-33779,Tyrosine-protein kinase JAK2,JAK2,single protein,8.74,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,462.18,8.0,1.0,5.0,3.3,82.84,JAK,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,C[NH+]1CCN(CC1)C1=CC=CC(NC2=NN3C=CC=C(C3=N2)C2=CC=C(C=C2)S(C)(=O)=O)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494040>,tr,
PD038912,CGP74514A,Cyclin-dependent kinase 5,CDK5,single protein,7.59,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21,385.18,7.0,3.0,5.0,3.93,93.68,CDK,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21,CCN1C=NC2=C(NC3=CC=CC(Cl)=C3)N=C(N[C@@H]3CCCC[C@@H]3[NH3+])N=C12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497760>,tr,
PD157052,CHDI-390576,Histone deacetylase 7,HDAC7,single protein,7.51,ON=C(O)C(c1ccc(-c2ncc(C(F)(F)F)cn2)cc1)c1ccccc1F,391.09,4.0,2.0,4.0,3.94,75.11,HDAC,ON=C(O)C(c1ccc(-c2ncc(C(F)(F)F)cn2)cc1)c1ccccc1F,ONC(=O)C(C1=CC=C(C=C1)C1=NC=C(C=N1)C(F)(F)F)C1=CC=CC=C1F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496c00>,tr,
PD121494,CHEMBL2179988 ,Protein mono-ADP-ribosyltransferase PARP10,PARP10,single protein,5.88,NC(=O)c1cccc(NC(=O)/C=C/C(=O)O)c1,234.06,3.0,3.0,4.0,0.36,109.49,PARP,NC(=O)c1cccc(NC(=O)/C=C/C(=O)O)c1,NC(=O)C1=CC=CC(NC(=O)\C=C\C([O-])=O)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496b90>,tr,
PD003531,CICLOPIROX,Poly [ADP-ribose] polymerase 1,PARP1,single protein,6.8,Cc1cc(C2CCCCC2)n(O)c(=O)c1,207.13,3.0,1.0,1.0,2.44,42.23,PARP,Cc1cc(C2CCCCC2)n(O)c(=O)c1,CC1=CC(=O)N([O-])C(=C1)C1CCCCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496c70>,tr,
PD107884,CL-104659,Tubulin alpha-1A chain,TUBA1A,single protein,5.3,O=c1[nH]c(/C=C/c2ccccc2)nc2ccccc12,248.09,2.0,1.0,2.0,3.09,45.75,TUBULIN,O=c1[nH]c(/C=C/c2ccccc2)nc2ccccc12,O=C1NC(\C=C\C2=CC=CC=C2)=NC2=CC=CC=C12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497060>,tr,
PD010393,CNX-2006,Epidermal growth factor receptor,EGFR,single protein,7.78,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC4CN(CCF)C4)cc3OC)ncc2C(F)(F)F)c1,545.22,8.0,4.0,11.0,5.18,103.44,EGFR,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC4CN(CCF)C4)cc3OC)ncc2C(F)(F)F)c1,COC1=CC(NC2CN(CCF)C2)=CC=C1NC1=NC=C(C(NC2=CC(NC(=O)C=C)=CC=C2)=N1)C(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496f10>,tr,
PD002408,COLCHICINE,Tubulin beta-5 chain,TUBB5,single protein,7.96,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,399.17,6.0,1.0,5.0,2.87,83.09,TUBULIN,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496d50>,tr,
PD016776,COMBRETASTATIN A4,Tubulin beta-3 chain,TUBB3,single protein,8.24,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,316.13,5.0,1.0,6.0,3.6,57.15,TUBULIN,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,COC1=CC=C(\C=C/C2=CC(OC)=C(OC)C(OC)=C2)C=C1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496ea0>,tr,
PD010692,CRENOLANIB,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,9.13,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,443.23,7.0,1.0,5.0,3.92,78.43,TYROSINE KINASE,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,CC1(COC2=CC=C3N(C=NC3=C2)C2=NC3=C(C=CC=C3C=C2)N2CCC([NH3+])CC2)COC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496f80>,tr,
PD012314,CZC-54252,Epidermal growth factor receptor,EGFR,single protein,7.32,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,504.13,9.0,3.0,8.0,3.83,117.71,EGFR,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,COC1=CC(=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2NS(C)(=O)=O)=N1)N1CCOCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497290>,tr,
PD011143,DACINOSTAT,Histone deacetylase 1,HDAC1,single protein,9.26,OCCN(CCc1c[nH]c2ccccc12)Cc1ccc(/C=C/C(O)=NO)cc1,379.19,4.0,4.0,9.0,2.72,88.59,HDAC,OCCN(CCc1c[nH]c2ccccc12)Cc1ccc(/C=C/C(O)=NO)cc1,OCC[NH+](CCC1=CNC2=CC=CC=C12)CC1=CC=C(CCC(=O)N=O)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497450>,tr,
PD003533,DACTOLISIB,Histone deacetylase 6,HDAC6,single protein,8.7,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,469.19,6.0,0.0,3.0,5.89,76.5,HDAC,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,CN1C(=O)N(C2=C1C=NC1=C2C=C(C=C1)C1=CC2=CC=CC=C2N=C1)C1=CC=C(C=C1)C(C)(C)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497ae0>,tr,
PD016973,DECERNOTINIB,Tyrosine-protein kinase JAK3,JAK3,single protein,8.02,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,392.16,5.0,3.0,6.0,3.28,95.59,JAK,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,CC[C@@](C)(NC1=CC=NC(=N1)C1=CNC2=NC=CC=C12)C(=O)NCC(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497b50>,tr,
PD055877,DINACICLIB,Cyclin-dependent kinase 5,CDK5,single protein,9.5,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,396.23,7.0,2.0,7.0,2.28,92.63,CDK,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,CCC1=C2N=C(C=C(NCC3=CC=C[N+]([O-])=C3)N2N=C1)N1CCCCC1CCO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497e60>,tr,
PD004294,DORSOMORPHIN,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,9.0,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,399.21,6.0,0.0,6.0,4.32,55.55,TYROSINE KINASE,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,C(C[NH+]1CCCCC1)OC1=CC=C(C=C1)C1=CN2N=CC(=C2N=C1)C1=CC=NC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497ed0>,tr,
PD005561,DR 2313,Poly [ADP-ribose] polymerase 1,PARP1,single protein,6.76,Cc1nc(=O)c2c([nH]1)CCSC2,182.05,3.0,1.0,0.0,0.87,45.75,PARP,Cc1nc(=O)c2c([nH]1)CCSC2,CC1=NC2=C(CSCC2)C(=O)N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497df0>,tr,
PD070053,Dolastatin 10,Tubulin alpha-1A chain,TUBA1A,single protein,5.66,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,784.49,9.0,2.0,21.0,5.19,133.41,TUBULIN,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C1=NC=CS1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)[NH+](C)C)C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497ca0>,tr,
PD036151,E7449,Poly [ADP-ribose] polymerase 2,PARP2,single protein,9.0,O=C1NNc2nc(CN3Cc4ccccc4C3)nc3cccc1c23,317.13,5.0,2.0,2.0,2.22,70.15,PARP,O=C1NNc2nc(CN3Cc4ccccc4C3)nc3cccc1c23,O=C1NNC2=C3C(C=CC=C13)=NC(CN1CC3=CC=CC=C3C1)=N2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495000>,tr,
PD011101,ENMD-981693,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,8.52,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)[nH]n1,375.22,6.0,2.0,5.0,3.17,72.97,TYROSINE KINASE,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)[nH]n1,C[NH+]1CCN(CC1)C1=NC(\C=C\C2=CC=CC=C2)=NC(NC2=NNC(C)=C2)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494890>,tr,
PD087762,EP-0042,Aurora kinase A,AURKA,single protein,8.12,Cc1nn(C)cc1-c1nc2c(N3CCN(Cc4ccc(Cl)cc4)CC3)c(Cl)cnc2[nH]1,455.14,6.0,1.0,4.0,4.3,65.87,AURORA KINASE,Cc1nn(C)cc1-c1nc2c(N3CCN(Cc4ccc(Cl)cc4)CC3)c(Cl)cnc2[nH]1,CN1C=C(C(C)=N1)C1=NC2=NC=C(Cl)C(N3CC[NH+](CC4=CC=C(Cl)C=C4)CC3)=C2N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496ce0>,tr,
PD003491,ETP-46464,Serine/threonine-protein kinase mTOR,MTOR,single protein,9.22,CC(C)(C#N)c1ccc(N2C(=O)OCc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)cc1,470.17,5.0,0.0,3.0,7.04,79.11,MTOR,CC(C)(C#N)c1ccc(N2C(=O)OCc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)cc1,CC(C)(C#N)C1=CC=C(C=C1)N1C(=O)OCC2=C1C1=CC(=CC=C1N=C2)C1=CC2=CC=CC=C2N=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743a810>,tr,
